Name,ID,LPC,CPC,NDP,GRN,PPC,BQC,OTH,VOTES,POP_CNT
Longueuil-Charles-LeMoyne,seat24041,19446,3991,4970,1174,1412,16986,122,48101,114665
Longueuil-Saint-Hubert,seat24042,21973,3982,4560,1596,1361,23616,249,57337,122857
Louis-Hébert,seat24043,21755,13873,4106,1474,0,15315,367,56890,116055
Louis-Saint-Laurent-Akiawenhrahk,seat24044,10267,30863,3117,843,1260,11892,990,59232,125840
Marc-Aurèle-Fortin,seat24045,22994,6121,4461,0,1509,16057,990,52132,114779
Mégantic-L'Érable,seat24046,7240,30443,1666,705,1889,10494,1202,53639,116499
Mirabel,seat24047,12031,6541,4213,1056,1864,22402,935,49042,123482
Montcalm,seat24050,9731,5685,3053,1244,2084,25915,983,48695,108606
Montmorency-Charlevoix,seat24051,10465,17453,2395,608,977,19113,794,51805,114257
Mont-Saint-Bruno-L'Acadie,seat24049,21299,6061,5186,91,1314,28359,78,62388,118278
Mount Royal,seat24048,23953,10047,3701,1145,1112,1699,101,41758,109125
Notre-Dame-de-Grâce-Westmount,seat24052,25905,6552,9976,1948,1575,3013,200,49169,89689
Outremont,seat24053,18489,3070,11315,1298,898,6417,139,41626,122430
Papineau,seat24054,22857,2199,10304,1448,1064,6831,732,45435,119560
Pierre-Boucher-Les Patriotes-Verchères,seat24055,14282,4870,4261,0,1078,29978,777,55246,128154
Pierrefonds-Dollard,seat24056,29296,10893,6034,0,1942,4141,0,52306,119724
Pontiac-Kitigan Zibi,seat24057,23148,11312,5997,1539,2361,7993,445,52795,124748
Portneuf-Jacques-Cartier,seat24058,8608,29780,2678,0,1392,13515,907,56880,118675
Québec Centre,seat24059,19078,9620,6774,1264,840,15550,312,53438,123969
Repentigny,seat24060,15737,4941,4169,0,0,28688,2338,55873,115964
Richmond-Arthabaska,seat24061,8543,28513,2550,0,2058,14150,1345,57159,113772
Rimouski-La Matapédia,seat24062,10846,5507,2882,0,1012,26778,2224,49249,116798
Rivière-des-Milles-Îles,seat24063,18624,5377,3803,959,1437,21399,1102,52701,114100
Rivière-du-Nord,seat24064,11514,6173,3534,149,1963,26422,1481,51236,117482
Rosemont-La Petite-Patrie,seat24065,12738,2199,26708,1308,0,11751,284,54988,111377
Saint-Hyacinthe-Bagot,seat24066,12030,7166,6170,0,1445,25165,1055,53031,126791
Saint-Jean,seat24067,16650,7544,4308,1262,0,27243,2203,59210,126560
Saint-Laurent,seat24068,23445,7225,4242,47,1246,3101,145,39451,128592
Saint-Léonard-Saint-Michel,seat24069,28327,4260,3322,0,1526,3225,0,40660,126999
Saint-Maurice-Champlain,seat24070,23913,10139,2849,731,0,16940,1765,56337,104504
Shefford,seat24071,19968,7234,3173,1059,2073,24997,1122,59626,121781
Sherbrooke,seat24072,21436,7318,7980,1645,1401,16583,778,57141,128349
Terrebonne,seat24073,16469,5879,3738,801,1506,23293,4522,56208,113929
Thérèse-De Blainville,seat24074,19402,6077,4002,1064,1474,22503,507,55029,99827
Trois-Rivières,seat24075,16637,17053,4680,754,1115,17136,735,58110,114384
Vaudreuil,seat24076,28430,9853,6372,1511,0,12489,1155,59810,124866
Ville-Marie-Le Sud-Ouest-Île-des-Soeurs,seat24077,20405,5135,7073,1063,1038,4674,195,39583,117873
Vimy,seat24078,22998,6358,4287,0,1987,10238,0,45868,86147
Acadie-Bathurst,seat13001,28840,6087,4968,1252,2592,0,549,44288,82357
Beauséjour,seat13002,27271,9511,5383,2797,3717,0,389,49068,105472
Fredericton-Oromocto,seat13003,15979,14193,5508,5450,134,0,622,41886,121703
Fundy Royal,seat13004,9900,18116,5664,1961,3369,0,0,39010,123232
Madawaska-Restigouche,seat13005,18724,9873,2206,966,2717,0,1379,35865,116177
Miramichi-Grand Lake,seat13006,12377,15567,2499,1577,1819,0,29,33868,107836
Moncton-Riverview-Dieppe,seat13007,20421,9220,6851,1732,2563,0,2,40789,110589
Saint John-Kennebecasis,seat13008,16082,13688,4961,1098,1839,0,0,37668,105739
Saint John-St. Croix,seat13009,12008,20210,5588,1731,3258,0,69,42864,112022
Tobique-Mactaquac,seat13010,7343,17212,3724,1599,2337,0,279,32494,114637
Cardigan,seat11001,10944,6693,2113,1040,711,0,143,21644,119873
Charlottetown,seat11002,8919,5932,2048,1832,369,0,0,19100,85038
Egmont,seat11003,9546,6406,1785,1954,1031,0,0,20722,81781
Malpeque,seat11004,9637,7642,1855,3222,636,0,2,22994,26655
Acadie-Annapolis,seat12001,12334,20636,5091,0,2125,0,0,40186,74122
Cape Breton-Canso-Antigonish,seat12002,19605,15028,6273,204,1691,0,114,42915,85038
Central Nova,seat12003,17928,13352,6507,619,1613,0,485,40504,81795
Cumberland-Colchester,seat12004,13822,18601,4984,1045,1687,0,278,40417,76121
Dartmouth-Cole Harbour,seat12005,25883,1530,16559,1460,4896,0,0,50328,128534
Halifax,seat12006,20070,6038,19187,1045,1003,0,192,47535,109359
Halifax West,seat12007,21670,9796,11853,1128,1049,0,67,45563,115568
Kings-Hants,seat12008,21590,14702,9199,940,2210,0,0,48641,109450
Sackville-Bedford-Preston,seat12009,22283,12368,12341,1013,1739,0,23,49767,106762
