Name,ID,LPC,CPC,NDP,GRN,PPC,BQC,OTH,VOTES
Sherwood Park-Fort Saskatchewan,seat48035,8730,41092,14740,700,5004,0,1132,71398
St. Albert-Sturgeon River,seat48036,7462,37497,15672,0,5220,0,838,66689
Yellowhead,seat48037,6430,35532,8773,766,5439,0,2367,59307
Battlefords-Lloydminster-Meadow Lake,seat47001,2595,23212,4921,279,2115,0,1904,35026
Carlton Trail-Eagle Creek,seat47002,2293,28724,5876,389,3923,0,961,42166
Desnethé-Missinippi-Churchill River,seat47003,3350,2181,1973,95,274,0,166,8039
Moose Jaw-Lake Centre-Lanigan,seat47004,2577,25909,8086,435,4803,0,729,42539
Prince Albert,seat47005,4294,23080,5497,403,2487,0,398,36159
Regina-Lewvan,seat47006,5726,18519,13919,498,1401,0,0,40063
Regina-Qu'Appelle,seat47007,3909,22942,8690,720,1886,0,6,38153
Regina-Wascana,seat47008,10384,19258,6978,623,1353,0,1,38597
Saskatoon South,seat47009,6244,21244,13324,534,1945,0,0,43291
Saskatoon West,seat47011,2778,15383,13329,357,2064,0,0,33911
Saskatoon-University,seat47010,4643,20487,15104,407,1785,0,295,42721
Souris-Moose Mountain,seat47012,1768,31908,3390,27,3864,0,1053,42010
Swift Current-Grasslands-Kindersley,seat47013,1565,27684,3921,327,2886,0,1811,38194
Yorkton-Melville,seat47014,2290,24857,4400,622,3337,0,678,36184
Brandon-Souris,seat46001,4734,23693,8023,8,3292,0,18,39768
Churchill-Keewatinook Aski,seat46002,4520,4402,7634,553,906,0,0,18015
Elmwood-Transcona,seat46003,6141,11818,20156,664,2458,0,6,41243
Kildonan-St. Paul,seat46004,13671,20719,11638,137,2627,0,53,48845
Portage-Lisgar,seat46005,4708,22435,5778,0,9416,0,681,43018
Provencher,seat46006,7427,21748,5497,1152,7884,0,1307,45015
Riding Mountain,seat46007,4999,23131,5672,824,4111,0,350,39087
Selkirk-Interlake-Eastman,seat46009,6478,27854,9513,1318,3747,0,0,48910
St. Boniface-St. Vital,seat46008,20991,13552,10133,719,2065,0,391,47851
Winnipeg Centre,seat46010,9155,4043,15761,760,1357,0,611,31687
Winnipeg North,seat46011,16067,4054,8282,362,1204,0,79,30048
Winnipeg South,seat46012,19303,13006,5749,595,1342,0,0,39995
Winnipeg South Centre,seat46013,22370,13821,10228,1310,1390,0,229,49348
Winnipeg West,seat46014,19611,20394,7410,1029,1712,0,5,50161
Ajax,seat35001,28279,13237,6988,1254,0,0,0,49758
Algonquin-Renfrew-Pembroke,seat35002,11335,28967,12263,1111,4469,0,373,58518
Aurora-Oak Ridges-Richmond Hill,seat35003,21043,19798,3801,80,1830,0,473,47025
Barrie South-Innisfil,seat35004,15292,25234,8349,0,4060,0,0,52935
Barrie-Springwater-Oro-Medonte,seat35005,17482,26382,9547,122,3984,0,18,57535
Bay of Quinte,seat35006,21564,23528,8892,1285,2873,0,0,58142
Beaches-East York,seat35007,28610,7333,11507,1387,1612,0,347,50796
Bowmanville-Oshawa North,seat35008,17003,24627,10144,0,2979,0,364,55117
Brampton Centre,seat35009,16663,10894,5483,0,1265,0,303,34608
Brampton East,seat35011,20205,10848,5917,0,1003,0,0,37973
Brampton North-Caledon,seat35012,18958,12180,5116,139,333,0,18,36744
Brampton South,seat35013,19130,10402,4778,0,1005,0,89,35404
Brampton West,seat35014,17500,8615,3966,0,768,0,230,31079
Brampton-Chinguacousy Park,seat35010,19661,11999,6518,0,0,0,530,38708
Brantford-Brant South-Six Nations,seat35015,15381,22405,11225,1473,4883,0,269,55636
Bruce-Grey-Owen Sound,seat35016,14738,28727,7939,1789,4697,0,524,58414
Burlington,seat35017,31602,25742,7507,1368,2764,0,117,69100
Burlington North-Milton West,seat35018,26489,20375,5353,1080,2211,0,0,55508
Cambridge,seat35019,20604,18379,9207,1825,3853,0,0,53868
Carleton,seat35020,22447,37333,8043,1547,1970,0,7,71347
Chatham-Kent-Leamington,seat35021,17370,27561,9492,983,9572,0,0,64978
Davenport,seat35022,23554,5860,21352,1313,1759,0,163,54001
Don Valley North,seat35023,22037,13491,4157,749,1227,0,4,41665
Don Valley West,seat35024,29699,15725,4720,551,1338,0,57,52090
Dufferin-Caledon,seat35025,16371,28295,5968,2615,4127,0,189,57565
Eglinton-Lawrence,seat35026,23029,17393,4395,1442,1417,0,0,47676
Elgin-St. Thomas-London South,seat35027,10751,26996,8886,1217,6700,0,291,54841
Essex,seat35028,10608,28167,21781,849,7009,0,338,68752
