Name,ID,LPC,CPC,NDP,GRN,PPC,BQC,OTH,VOTES
Avalon,seat10001,27133,16953,2280,0,0,0,230,46596
Cape Spear,seat10002,31387,11844,2446,140,0,0,170,45987
Central Newfoundland,seat10003,17696,21976,965,0,0,0,0,40637
Labrador,seat10004,5811,4709,764,0,0,0,0,11284
Long Range Mountains,seat10005,19726,23232,2013,0,535,0,637,46143
St. John's East,seat10006,28554,11915,5137,159,0,0,94,45859
Terra Nova-The Peninsulas,seat10007,19704,19692,1677,0,0,0,0,41073
Northwest Territories,seat61001,8854,5462,1983,171,0,0,0,16470
Nunavut,seat62001,2868,2055,2945,0,0,0,0,7868
Yukon,seat60001,12019,8724,1439,474,0,0,0,22656
